1068	02:00:00:ec:02:10	02:00:00:ec:01:01
1086	02:00:00:ec:02:10	02:00:00:ec:01:01
1092	02:00:00:ec:02:10	02:00:00:ec:01:01
1098	02:00:00:ec:01:01	02:00:00:ec:02:10
1124	02:00:00:ec:01:01	02:00:00:ec:02:10
1130	02:00:00:ec:02:10	02:00:00:ec:01:01
1144	02:00:00:ec:02:10	02:00:00:ec:01:01
1146	02:00:00:ec:02:10	02:00:00:ec:01:01
1148	02:00:00:ec:02:10	02:00:00:ec:01:01
1150	02:00:00:ec:01:01	02:00:00:ec:02:10
1152	02:00:00:ec:01:01	02:00:00:ec:02:10
1162	02:00:00:ec:02:10	02:00:00:ec:01:01
1180	02:00:00:ec:01:01	02:00:00:ec:02:10
1302	02:00:00:ec:02:10	02:00:00:ec:01:01
1324	02:00:00:ec:01:01	02:00:00:ec:02:10
1586	02:00:00:ec:02:10	02:00:00:ec:01:01
1668	02:00:00:ec:01:01	02:00:00:ec:02:10
1770	02:00:00:ec:01:01	02:00:00:ec:02:10
2192	02:00:00:ec:02:10	02:00:00:ec:01:01
2429	02:00:00:ec:01:01	02:00:00:ec:02:10
2638	02:00:00:ec:02:10	02:00:00:ec:01:01
2652	02:00:00:ec:01:01	02:00:00:ec:02:10
2660	02:00:00:ec:02:10	02:00:00:ec:01:01
2678	02:00:00:ec:01:01	02:00:00:ec:02:10
2688	02:00:00:ec:01:01	02:00:00:ec:02:10
2690	02:00:00:ec:02:10	02:00:00:ec:01:01
2692	02:00:00:ec:02:10	02:00:00:ec:01:01
2694	02:00:00:ec:02:10	02:00:00:ec:01:01
2696	02:00:00:ec:02:10	02:00:00:ec:01:01
2698	02:00:00:ec:02:10	02:00:00:ec:01:01
2704	02:00:00:ec:02:10	02:00:00:ec:01:01
2706	02:00:00:ec:01:01	02:00:00:ec:02:10
2708	02:00:00:ec:02:10	02:00:00:ec:01:01
2710	02:00:00:ec:02:10	02:00:00:ec:01:01
2712	02:00:00:ec:01:01	02:00:00:ec:02:10
2714	02:00:00:ec:01:01	02:00:00:ec:02:10
2720	02:00:00:ec:02:10	02:00:00:ec:01:01
2734	02:00:00:ec:02:10	02:00:00:ec:01:01
2736	02:00:00:ec:01:01	02:00:00:ec:02:10
2738	02:00:00:ec:01:01	02:00:00:ec:02:10
2756	02:00:00:ec:02:10	02:00:00:ec:01:01
2770	02:00:00:ec:02:10	02:00:00:ec:01:01
2784	02:00:00:ec:01:01	02:00:00:ec:02:10
2798	02:00:00:ec:01:01	02:00:00:ec:02:10
2808	02:00:00:ec:02:10	02:00:00:ec:01:01
2818	02:00:00:ec:01:01	02:00:00:ec:02:10
2820	02:00:00:ec:01:01	02:00:00:ec:02:10
2822	02:00:00:ec:01:01	02:00:00:ec:02:10
2824	02:00:00:ec:01:01	02:00:00:ec:02:10
2826	02:00:00:ec:01:01	02:00:00:ec:02:10
2828	02:00:00:ec:01:01	02:00:00:ec:02:10
2830	02:00:00:ec:02:10	02:00:00:ec:01:01
2832	02:00:00:ec:02:10	02:00:00:ec:01:01
2834	02:00:00:ec:02:10	02:00:00:ec:01:01
2836	02:00:00:ec:02:10	02:00:00:ec:01:01
2838	02:00:00:ec:02:10	02:00:00:ec:01:01
2840	02:00:00:ec:02:10	02:00:00:ec:01:01
2842	02:00:00:ec:02:10	02:00:00:ec:01:01
2844	02:00:00:ec:01:01	02:00:00:ec:02:10
2850	02:00:00:ec:01:01	02:00:00:ec:02:10
2864	02:00:00:ec:01:01	02:00:00:ec:02:10
2866	02:00:00:ec:02:10	02:00:00:ec:01:01
2868	02:00:00:ec:01:01	02:00:00:ec:02:10
2870	02:00:00:ec:02:10	02:00:00:ec:01:01
2872	02:00:00:ec:01:01	02:00:00:ec:02:10
2874	02:00:00:ec:02:10	02:00:00:ec:01:01
2876	02:00:00:ec:01:01	02:00:00:ec:02:10
2878	02:00:00:ec:02:10	02:00:00:ec:01:01
2880	02:00:00:ec:01:01	02:00:00:ec:02:10
2882	02:00:00:ec:02:10	02:00:00:ec:01:01
2884	02:00:00:ec:01:01	02:00:00:ec:02:10
2886	02:00:00:ec:02:10	02:00:00:ec:01:01
2896	02:00:00:ec:01:01	02:00:00:ec:02:10
2898	02:00:00:ec:01:01	02:00:00:ec:02:10
2904	02:00:00:ec:01:01	02:00:00:ec:02:10
3054	02:00:00:ec:01:01	02:00:00:ec:02:10
3288	02:00:00:ec:01:01	02:00:00:ec:02:10
3290	02:00:00:ec:02:10	02:00:00:ec:01:01
3292	02:00:00:ec:01:01	02:00:00:ec:02:10
3294	02:00:00:ec:02:10	02:00:00:ec:01:01
3296	02:00:00:ec:01:01	02:00:00:ec:02:10
3298	02:00:00:ec:02:10	02:00:00:ec:01:01
3300	02:00:00:ec:01:01	02:00:00:ec:02:10
3302	02:00:00:ec:02:10	02:00:00:ec:01:01
3304	02:00:00:ec:01:01	02:00:00:ec:02:10
3306	02:00:00:ec:02:10	02:00:00:ec:01:01
3308	02:00:00:ec:01:01	02:00:00:ec:02:10
3310	02:00:00:ec:02:10	02:00:00:ec:01:01
3400	02:00:00:ec:01:01	02:00:00:ec:02:10
3586	02:00:00:ec:01:01	02:00:00:ec:02:10
3588	02:00:00:ec:02:10	02:00:00:ec:01:01
3590	02:00:00:ec:02:10	02:00:00:ec:01:01
3592	02:00:00:ec:01:01	02:00:00:ec:02:10
3594	02:00:00:ec:02:10	02:00:00:ec:01:01
3652	02:00:00:ec:02:10	02:00:00:ec:01:01
3662	02:00:00:ec:02:10	02:00:00:ec:01:01
3708	02:00:00:ec:02:10	02:00:00:ec:01:01
3710	02:00:00:ec:02:10	02:00:00:ec:01:01
3712	02:00:00:ec:01:01	02:00:00:ec:02:10
3714	02:00:00:ec:02:10	02:00:00:ec:01:01
4084	02:00:00:ec:01:01	02:00:00:ec:02:10
4590	02:00:00:ec:01:01	02:00:00:ec:02:10
4592	02:00:00:ec:02:10	02:00:00:ec:01:01
4594	02:00:00:ec:01:01	02:00:00:ec:02:10
4596	02:00:00:ec:02:10	02:00:00:ec:01:01
4598	02:00:00:ec:01:01	02:00:00:ec:02:10
4600	02:00:00:ec:02:10	02:00:00:ec:01:01
4602	02:00:00:ec:01:01	02:00:00:ec:02:10
4604	02:00:00:ec:02:10	02:00:00:ec:01:01
4606	02:00:00:ec:01:01	02:00:00:ec:02:10
4608	02:00:00:ec:02:10	02:00:00:ec:01:01
4610	02:00:00:ec:01:01	02:00:00:ec:02:10
4612	02:00:00:ec:02:10	02:00:00:ec:01:01
4967	02:00:00:ec:02:10	02:00:00:ec:01:01
4969	02:00:00:ec:01:01	02:00:00:ec:02:10
4971	02:00:00:ec:02:10	02:00:00:ec:01:01
4973	02:00:00:ec:01:01	02:00:00:ec:02:10
4983	02:00:00:ec:02:10	02:00:00:ec:01:01
4993	02:00:00:ec:02:10	02:00:00:ec:01:01
4996	02:00:00:ec:02:10	02:00:00:ec:01:01
4998	02:00:00:ec:02:10	02:00:00:ec:01:01
5003	02:00:00:ec:02:10	02:00:00:ec:01:01
5005	02:00:00:ec:01:01	02:00:00:ec:02:10
5007	02:00:00:ec:02:10	02:00:00:ec:01:01
5033	02:00:00:ec:01:01	02:00:00:ec:02:10
5035	02:00:00:ec:02:10	02:00:00:ec:01:01
