1	02:00:00:e0:00:02	01:80:c2:00:00:13	0x0007	
2	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0008	
3	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8043	
4	02:00:00:e0:00:02	01:80:c2:00:00:13	0x0000	
5	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0001	
6	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0009	0x04
7	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0009	
8	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0009	0x05,0x05,0x0c
9	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8003	
10	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8006	
11	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0002	
12	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8004	
13	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8001	
14	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8027	
15	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8000	
16	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8007	
17	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8008	
18	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0003	
19	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8002	
20	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8028	
21	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8005	
22	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8000	
23	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8000	
24	02:00:00:e0:00:02	01:80:c2:00:00:13	0x0001	
25	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0001	
26	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0002	
27	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0003	
28	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0004	
29	02:00:00:e0:00:02	01:80:c2:00:00:13	0x0001	
30	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0001	
31	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0002	
32	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0003	
33	02:00:00:e0:00:02	02:00:00:e0:00:01	0x8026	
34	02:00:00:e0:00:02	01:80:c2:00:00:13	0x0001	
35	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0001	
36	02:00:00:e0:00:01	02:00:00:e0:00:02	0x8009	
37	02:00:00:e0:00:02	02:00:00:e0:00:01	0x800a	
38	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
39	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0004	
40	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
41	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
42	02:00:00:e0:00:02	01:80:c2:00:00:13	0x0000	
43	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0005	
44	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
45	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0006	
46	02:00:00:e0:00:02	02:00:00:e0:00:01	0x800c	
47	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
48	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
49	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
50	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
51	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
52	02:00:00:e0:00:01	02:00:00:e0:00:02	0x0004	
53	02:00:00:e0:00:02	02:00:00:e0:00:01	0x0004	
